ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Meta: _wp_page_template","Meta: cartflows_redirect_flow_id","Meta: cartflows_add_to_cart_text","Meta: author_name","Meta: _author_name","Meta: subject","Meta: _subject","Meta: publication","Meta: _publication","Meta: _sample_pdf","Meta: __sample_pdf"
1139,simple,,,"ইদাই ইলু বাংলা-চীনা অভিধান",1,0,visible,,"<table class=""table table-bordered"">
\n<tbody>
\n<tr>
\n<td>বইয়ের নাম</td>
\n<td>ইদাই ইলু বাংলা-চীনা অভিধান</td>
\n</tr>
\n<tr>
\n<td>লেখক</td>
\n<td class=""author-link"">ড. মোহাম্মদ সাদী</td>
\n</tr>
\n<tr>
\n<td>আন্তর্জাতিক বই নং</td>
\n<td class=""author-link"">978-984-36-0542-9</td>
\n</tr>
\n<tr>
\n<td>প্রকাশনী</td>
\n<td class=""publisher-link"">ইদাই ইলু প্রকাশনী</td>
\n</tr>
\n<tr>
\n<td>সংস্করণ</td>
\n<td>৩য় সংস্করণ</td>
\n</tr>
\n<tr>
\n<td>পৃষ্ঠা সংখ্যা</td>
\n<td>৫৫০</td>
\n</tr>
\n<tr>
\n<td>দেশ</td>
\n<td>বাংলাদেশ</td>
\n</tr>
\n<tr>
\n<td>ভাষা</td>
\n<td>বাংলা, চাইনিজ, ইংলিশ</td>
\n</tr>
\n</tbody>
\n</table>",,,taxable,,1,,,0,0,,,,,1,,,500,"চাইনিজ বিষয়ক বই",,,https://yidaiyilupublications.com/wp-content/uploads/2024/10/5-1.jpg,,,,,,,,,0,,default,,,"ড. মোহাম্মদ সাদী",field_66b3435ae31f3,"চীনা বাংলা অভিধান",field_66b347ccc6cfc,"ইদাই ইলু প্রকাশনী",field_66b34a4ac6cfd,,
1144,simple,,,"ইদাই ইলু চীনা-বাংলা অভিধান",1,0,visible,,"<table class=""table table-bordered"">
\n<tbody>
\n<tr>
\n<td>বইয়ের নাম</td>
\n<td>ইদাই ইলু চীনা-বাংলা অভিধান</td>
\n</tr>
\n<tr>
\n<td>লেখক</td>
\n<td class=""author-link"">ড. মোহাম্মদ সাদী</td>
\n</tr>
\n<tr>
\n<td>আন্তর্জাতিক বই নং</td>
\n<td class=""author-link"">978-984-36-0548-1</td>
\n</tr>
\n<tr>
